id,stageId,kanji,grade,questionType,question,choice1,choice2,choice3,choice4,correctAnswer,explanation
s1-q002,1,右,1,reading,「右手」の「右」の読み方を選びなさい。,みぎ,う,ゆう,した,0,右は「みぎ」と読みます
s1-q003,1,雨,1,reading,「雨天」の「雨」の読み方を選びなさい。,う,あめ,あま,ゆき,0,雨は「あめ」と読みます
s1-q005,1,王,1,reading,「王様」の「王」の読み方を選びなさい。,おう,きみ,きん,しゅ,0,王は「おう」と読みます
s1-q009,1,花,1,reading,「花見」の「花」の読み方を選びなさい。,はな,け,はん,くさ,0,花は「はな」と読みます
s1-q010,1,貝,1,reading,「貝殻」の「貝」の読み方を選びなさい。,かい,がい,ばい,から,0,貝は「かい」と読みます
s1-q011,1,学,1,reading,「学校」の「学」の読み方を選びなさい。,がく,がっ,まな,べん,0,学は「がく」「まな（ぶ）」と読みます
s1-q014,1,休,1,reading,「休日」の「休」の読み方を選びなさい。,きゅう,やす,いこ,ねむ,0,休は「きゅう」「やす（む）」と読みます
s1-q020,1,見,1,reading,「見物」の「見」の読み方を選びなさい。,けん,み,め,しょう,0,見は「み（る）」「けん」と読みます
s1-q022,1,花,1,bushu,「花」の部首の名前を選びなさい。,くさかんむり,はなへん,そうこう,きへん,0,花の部首は「くさかんむり」です
s1-q035,1,対義語,1,antonym,「上」の対義語を選びなさい。,下,右,左,前,0,上の反対は下です
s1-q036,1,対義語,1,antonym,「左」の対義語を選びなさい。,右,下,上,前,0,左の反対は右です
s1-q037,1,対義語,1,antonym,「入」の対義語を選びなさい。,出,上,下,来,0,入の反対は出です
s1-q038,1,対義語,1,antonym,「女」の対義語を選びなさい。,男,子,母,父,0,女の反対は男です
s1-q039,1,した,1,homophone,「した」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）に置く。」,下,舌,死た,師た,0,置く場所は「下」です
s1-q040,1,いと,1,homophone,「いと」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を通す。」,糸,意図,従,愛,0,通すのは「糸」です
s1-q041,1,みみ,1,homophone,「みみ」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）が痛い。」,耳,身身,実実,見見,0,痛いのは「耳」です
s1-q042,1,くち,1,homophone,「くち」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を開ける。」,口,九千,朽ち,句知,0,開けるのは「口」です
s1-q043,1,学,1,compound,「学（　）」に入る漢字を選んで二字熟語を完成させなさい。,校,休,気,見,0,学校が正解です
s1-q044,1,見,1,compound,「見（　）」に入る漢字を選んで二字熟語を完成させなさい。,学,休,気,王,0,見学が正解です
s1-q045,1,小,1,compound,「小（　）」に入る漢字を選んで二字熟語を完成させなさい。,学,校,休,気,0,小学が正解です
s1-q046,1,森,1,compound,「森（　）」に入る漢字を選んで二字熟語を完成させなさい。,林,木,山,川,0,森林が正解です
s1-q047,1,五,1,writing,数字の「5」を漢字で書いたものを選びなさい。,五,伍,呉,吾,0,五が正解です
s1-q048,1,三,1,writing,数字の「3」を漢字で書いたものを選びなさい。,三,弐,惨,傘,0,三が正解です
s1-q049,1,四,1,writing,数字の「4」を漢字で書いたものを選びなさい。,四,肆,泗,伺,0,四が正解です
s1-q050,1,しち,1,writing,「しち」を漢字で書いたものを選びなさい。,七,質,失,十,0,七が正解です
s1-q051,1,十,1,writing,数字の「10」を漢字で書いたものを選びなさい。,十,拾,什,汁,0,十が正解です
s1-q052,1,くるま,1,writing,「くるま」を漢字で書いたものを選びなさい。,車,来,軍,庫,0,車が正解です
s1-q053,1,て,1,writing,「て」を漢字で書いたものを選びなさい。,手,出,毛,目,0,手が正解です
s1-q054,1,じ,1,writing,「じ」を漢字で書いたものを選びなさい。,字,寺,時,自,0,字が正解です
s1-q055,1,上手,1,reading,「上手」の読み方を選びなさい。,じょうず,うわて,かみて,うえて,0,上手は「じょうず」と読みます
s1-q059,1,こう,1,writing,「こう」を漢字で書いたものを選びなさい。,校,工,交,高,0,校が正解です
s1-q060,1,もり,1,writing,「もり」を漢字で書いたものを選びなさい。,森,林,木,村,0,森が正解です
s2-q002,2,入,1,reading,「入学」の「入」の読み方を選びなさい。,にゅう,い,はい,じゅ,0,入は「にゅう」「い（る）」「はい（る）」と読みます
s2-q005,2,八,1,reading,「八月」の「八」の読み方を選びなさい。,はち,や,やっ,ぱち,0,八は「はち」「や（っつ）」と読みます
s2-q015,2,六,1,reading,「六月」の「六」の読み方を選びなさい。,ろく,りく,む,むっ,0,六は「ろく」「む（っつ）」と読みます
